Категория,Тезис,Группа,Тип,Метрика,Описание,Методика расчёта,Эталон,Трактовка отклонения,Источник,Источник трактовки
1. Стратегия и управление,Показывают управляемость ИТ и связь с целями бизнеса.,2. Соотношение ИТ-персонала,Операционный,Общий коэффициент ИТ-персонала,Число бизнес-пользователей на одного сотрудника ИТ в целом.,Общая численность сотрудников / Численность ИТ-персонала,1:25–1:40 ;  1:108 = критическая перегрузка,"Слишком высокий коэффициент = перегрузка, низкий = избыточный штат. целевой",NinjaOne 2026 / BetterCloud 2025,NinjaOne 2026 / BetterCloud 2025
1. Стратегия и управление,Показывают управляемость ИТ и связь с целями бизнеса.,2. Соотношение ИТ-персонала,Операционный,Соотношение сотрудников к специалистам поддержки,Число пользователей на одного сотрудника первой/второй линии поддержки.,Число пользователей / Число сотрудников поддержки,1:75,Выход за границы диапазона — сигнал дисбаланса ресурсов.,MSH Talent 2026,MSH Talent 2026
10. Цифровизация и автоматизация,Показывают масштаб и эффективность цифровой трансформации и автоматизации процессов.,24. Цифровизация и автоматизация процессов,Финансовый,ROI проектов цифровой трансформации,Совокупный возврат на инвестиции по портфелю проектов цифровизации.,(Совокупная ценность реализованных инициатив − Затраты) / Затраты × 100%,≥150% за 3 года,Низкий или отрицательный ROI — признак слабого отбора инициатив или неэффективного управления.,ProductSchool / McKinsey 2025,ProductSchool 2025
10. Цифровизация и автоматизация,Показывают масштаб и эффективность цифровой трансформации и автоматизации процессов.,24. Цифровизация и автоматизация процессов,Операционный,Время вывода инициативы цифровизации,Среднее время от одобрения инициативы цифровизации до запуска первого работающего продукта.,Среднее (дата первого релиза − дата одобрения) по инициативам,≤6 месяцев,Длительный цикл >12 месяцев означает бюрократические барьеры и потерю актуальности.,ProductSchool 2025,ProductSchool 2025
10. Цифровизация и автоматизация,Показывают масштаб и эффективность цифровой трансформации и автоматизации процессов.,24. Цифровизация и автоматизация процессов,Финансовый,Высвобождение ресурсов от автоматизации (в эквиваленте ставок),Суммарное высвобождение ресурсов (в эквиваленте ставок) за счёт автоматизации рутинных задач.,(Сэкономленные человеко-часы / Годовой фонд рабочего времени 1 FTE),По плану окупаемости проекта,Недостижение плановых показателей FTE-экономии — сигнал о неполной автоматизации.,Blueprint 2023,Blueprint 2023
10. Цифровизация и автоматизация,Показывают масштаб и эффективность цифровой трансформации и автоматизации процессов.,24. Цифровизация и автоматизация процессов,Операционный,Доля автоматизированных бизнес-процессов,"Процент бизнес-процессов, переведённых на автоматическое исполнение с минимальным ручным участием.",(Автоматизированные процессы / Все бизнес-процессы) × 100%,≥50%,Низкая доля <30% указывает на отставание цифровой трансформации от рыночного уровня.,ProductSchool 2025,ProductSchool 2025
10. Цифровизация и автоматизация,Показывают масштаб и эффективность цифровой трансформации и автоматизации процессов.,24. Цифровизация и автоматизация процессов,Операционный,Индекс цифровой зрелости,"Комплексная оценка уровня цифровизации организации по ключевым измерениям (технологии, процессы, данные, культура).","Взвешенная оценка по модели цифровой зрелости (например, Gartner Digital Maturity Model)",≥3 из 5 (управляемый уровень),Зрелость ниже 3 означает фрагментированность инициатив без системного подхода.,ProductSchool / McKinsey 2025,ProductSchool 2025
10. Цифровизация и автоматизация,Показывают масштаб и эффективность цифровой трансформации и автоматизации процессов.,24. Цифровизация и автоматизация процессов,Операционный,Количество роботов/ботов в продуктивной эксплуатации,"Общее число активных роботов RPA и программных ботов, работающих в продуктивной среде.",Подсчёт активных роботов / ботов за период,Рост по плану цифровизации,Снижение числа или остановка роста — признак проблем с поддержкой или масштабированием.,Blueprint 2023,Blueprint 2023
10. Цифровизация и автоматизация,Показывают масштаб и эффективность цифровой трансформации и автоматизации процессов.,24. Цифровизация и автоматизация процессов,Операционный,Надёжность автоматизированных процессов,Доля успешных запусков автоматизированных процессов без ошибок и исключений.,(Успешные запуски / Все запуски) × 100%,≥95%,Низкая надёжность <90% требует ревизии процессов и обработки исключений.,Blueprint 2023,Blueprint 2023
10. Цифровизация и автоматизация,Показывают масштаб и эффективность цифровой трансформации и автоматизации процессов.,24. Цифровизация и автоматизация процессов,Операционный,Снижение времени выполнения процесса после автоматизации,Процент сокращения времени цикла выполнения процесса до и после внедрения автоматизации.,(Время до − Время после) / Время до × 100%,≥40%,Недостаточное снижение <20% указывает на неполную автоматизацию или сопротивление изменениям.,Blueprint / ProductSchool 2025,Blueprint 2023
10. Цифровизация и автоматизация,Показывают масштаб и эффективность цифровой трансформации и автоматизации процессов.,24. Цифровизация и автоматизация процессов,Финансовый,Стоимость одной автоматизированной транзакции,Удельная стоимость одного исполнения автоматизированного бизнес-процесса.,Полные затраты на автоматизацию процесса / Количество транзакций за период,Ниже стоимости ручного исполнения на ≥50%,Превышение стоимости ручного исполнения означает провал экономического обоснования автоматизации.,Blueprint 2023,Blueprint 2023
2. Финансы и оптимизация,Показывают стоимость ИТ и отдачу от вложений.,10. Вендорная и контрактная эффективность,Операционный,"Доля SLA, выполненных поставщиком","Процент SLA-показателей (доступность, время реакции, качество), фактически выполненных поставщиком за отчётный период.",Число выполненных SLA / Общее число SLA × 100%,≥99% для критичных сервисов,Снижение ниже эталона требует анализа причин и плана корректирующих мер.,Sirion.ai 2026,Sirion.ai 2026
2. Финансы и оптимизация,Показывают стоимость ИТ и отдачу от вложений.,10. Вендорная и контрактная эффективность,Финансовый,Отклонение фактических затрат от контрактных,Насколько реальные расходы отличаются от зафиксированных в контракте.,(Фактические затраты − Контрактная стоимость) / Контрактная стоимость × 100%,±5% — допустимо;  >10% — требует анализа,Превышение указывает на неправильное нормирование или расширение scope.,Sirion.ai 2026,Sirion.ai 2026
2. Финансы и оптимизация,Показывают стоимость ИТ и отдачу от вложений.,10. Вендорная и контрактная эффективность,Операционный,Соблюдение условий контракта,"Процент контрактных обязательств (SLA, сроки, качество), выполненных поставщиком в полном объёме и в срок.",Число выполненных контрактных обязательств / Общее число обязательств × 100%,≥95%,Отклонение от эталона требует анализа и корректирующих мер.,Sirion.ai 2026,Sirion.ai 2026
2. Финансы и оптимизация,Показывают стоимость ИТ и отдачу от вложений.,10. Вендорная и контрактная эффективность,Операционный,Срок подписания контракта,Время от инициации закупки до подписания контракта.,Среднее (дата подписания − дата инициации) по портфелю контрактов,≤30 дней,Длинный цикл = неэффективный процесс согласований. >60 дней = проблемная зона,Sirion.ai 2026,Sirion.ai 2026
2. Финансы и оптимизация,Показывают стоимость ИТ и отдачу от вложений.,10. Вендорная и контрактная эффективность,Финансовый,Экономия по контракту относительно базовой цены,Процент экономии по контракту относительно базовой рыночной цены.,(Базовая цена − Контрактная цена) / Базовая цена × 100%,>10% от прайса,"Снижение стоимости относительно рыночного прайса или предыдущего контракта, достигнутое в ходе переговоров или консолидации. целевой: >10% от прайса",Sirion.ai 2026,Sirion.ai 2026
2. Финансы и оптимизация,Показывают стоимость ИТ и отдачу от вложений.,3. Удельные затраты на ИТ,Финансовый,Доля административных расходов ИТ в операционных затратах,"Доля административных затрат ИТ (управление, закупки, финансы ИТ) в общих операционных расходах на ИТ.",Адм. затраты ИТ / Операционные расходы ИТ × 100%,10–15%,Снижение ниже эталона требует анализа причин и плана корректирующих мер.,APQC Benchmarking,APQC Benchmarking
2. Финансы и оптимизация,Показывают стоимость ИТ и отдачу от вложений.,3. Удельные затраты на ИТ,Финансовый,Накладные расходы ИТ на 1 000 ₽/$ выручки,Накладные расходы функции ИТ (включая амортизацию) на каждые 1 000 единиц выручки компании.,Накладные расходы ИТ / Выручка × 1 000,$10–$20 на $1000 выручки,Рост выше эталона означает неэффективность и требует финансового аудита.,APQC Benchmarking,APQC Benchmarking
2. Финансы и оптимизация,Показывают стоимость ИТ и отдачу от вложений.,3. Удельные затраты на ИТ,Финансовый,Стоимость обработки одного обращения в поддержку,"Полная себестоимость обработки одного тикета, включая труд, инструменты и накладные расходы, в зависимости от канала.",Общие затраты на поддержку / Число обращений за период,$22 (телефон) → $2–3 (self-service);  разница 7–11x,Рост выше эталона означает неэффективность и требует финансового аудита.,HDI / ThinkHDI 2021,HDI / ThinkHDI 2021
2. Финансы и оптимизация,Показывают стоимость ИТ и отдачу от вложений.,3. Удельные затраты на ИТ,Финансовый,Стоимость одной транзакции,Полные затраты на выполнение одной типовой ИТ-операции (транзакции). Базовый показатель для нормирования и сравнения с рынком.,Общие операционные затраты процесса / Число транзакций за период,$12–15 (обработка КЗ);  варьируется по операции,Рост выше эталона означает неэффективность и требует финансового аудита.,Hyperbots 2026,Hyperbots 2026
2. Финансы и оптимизация,Показывают стоимость ИТ и отдачу от вложений.,4. Структура ИТ-бюджета,Финансовый,Доля ПО и лицензий в ИТ-бюджете,"Доля расходов на программное обеспечение, SaaS и лицензии в ИТ-бюджете.",Затраты на ПО / ИТ-бюджет × 100%,20–25%,Снижение ниже эталона требует анализа причин и плана корректирующих мер.,Network Installers 2026,Network Installers 2026
2. Финансы и оптимизация,Показывают стоимость ИТ и отдачу от вложений.,4. Структура ИТ-бюджета,Финансовый,Доля информационной безопасности в ИТ-бюджете,Доля затрат на кибербезопасность в общем ИТ-бюджете.,Затраты на ИБ / ИТ-бюджет × 100%,10–15%,Снижение ниже эталона требует анализа причин и плана корректирующих мер.,Network Installers 2026,Network Installers 2026
2. Финансы и оптимизация,Показывают стоимость ИТ и отдачу от вложений.,4. Структура ИТ-бюджета,Финансовый,Доля облачных сервисов в ИТ-бюджете,"Доля затрат на IaaS, PaaS и облачные платформы в ИТ-бюджете.",Затраты на облако / ИТ-бюджет × 100%,15–20% (cloud-forward: 30–50%),Низкая доля в 2026 означает отставание от рынка.,Quadbridge 2025,Quadbridge 2025
2. Финансы и оптимизация,Показывают стоимость ИТ и отдачу от вложений.,4. Структура ИТ-бюджета,Финансовый,Доля оборудования и инфраструктуры в ИТ-бюджете,"Доля капитальных затрат на серверы, сетевое оборудование и рабочие места в ИТ-бюджете.",Затраты на оборудование / ИТ-бюджет × 100%,15–20%,Снижение ниже эталона требует анализа причин и плана корректирующих мер.,Network Installers 2026,Network Installers 2026
2. Финансы и оптимизация,Показывают стоимость ИТ и отдачу от вложений.,4. Структура ИТ-бюджета,Финансовый,Доля обучения в ИТ-бюджете,Доля затрат на обучение и развитие ИТ-персонала в общем ИТ-бюджете.,Затраты на обучение / ИТ-бюджет × 100%,3–5%,Снижение ниже эталона требует анализа причин и плана корректирующих мер.,Network Installers 2026,Network Installers 2026
2. Финансы и оптимизация,Показывают стоимость ИТ и отдачу от вложений.,4. Структура ИТ-бюджета,Финансовый,Доля персонала в ИТ-бюджете,"Доля затрат на ИТ-персонал (зарплата, страхование, подбор) в общем ИТ-бюджете.",Затраты на персонал / ИТ-бюджет × 100%,35–40%,>45% — риск избыточного штата,Network Installers 2026,Network Installers 2026
2. Финансы и оптимизация,Показывают стоимость ИТ и отдачу от вложений.,4. Структура ИТ-бюджета,Финансовый,ИТ-бюджет % от выручки,"Доля общих затрат на ИТ в выручке компании. Ключевой показатель для сравнения с отраслевыми нормами и выявления как недофинансирования, так и перерасхода.",Годовой ИТ-бюджет / Годовая выручка × 100%,"3,1% (среднее);  финансы: 7–10%;  производство: 1–3%",Отклонение от эталона требует анализа и корректирующих мер.,Gartner / Meriplex 2026,Gartner / Meriplex 2026
2. Финансы и оптимизация,Показывают стоимость ИТ и отдачу от вложений.,4. Структура ИТ-бюджета,Финансовый,Соотношение расходов на эксплуатацию и развитие ИТ,"Распределение ИТ-бюджета между поддержанием текущих систем (Run) и развитием, инновациями (Change). Чем выше доля Change — тем больше ИТ работает на рост.",Затраты Run / ИТ-бюджет × 100% и Затраты Change / ИТ-бюджет × 100%,Run 60–65% : Change 35–40% (целевое),проблемное: Run >80%,McKinsey / Umbrex,McKinsey / Umbrex
2. Финансы и оптимизация,Показывают стоимость ИТ и отдачу от вложений.,5. Использование лицензий и SaaS,Финансовый,Доля активно используемых лицензий,"Процент оплаченных лицензий, которые реально используются хотя бы раз в месяц.",Число активных пользователей / Число оплаченных лицензий × 100%,>80%,Низкий показатель — прямые финансовые потери. Проблема: 46% лицензий не используется целевой: >80%,Zylo / Torii 2026,Zylo / Torii 2026
2. Финансы и оптимизация,Показывают стоимость ИТ и отдачу от вложений.,5. Использование лицензий и SaaS,Финансовый,Доля избыточных лицензий в бюджете на ПО,"Доля бюджета на ПО, уходящая на лицензии сверх реального спроса. Включает неиспользуемые, завышенные тарифные планы и дублирующие инструменты.",Стоимость неиспользуемых/избыточных лицензий / Общие затраты на ПО × 100%,<10%,целевой: <10%,NPI Financial 2025 (рынок: ~30%),NPI Financial 2025
2. Финансы и оптимизация,Показывают стоимость ИТ и отдачу от вложений.,5. Использование лицензий и SaaS,Финансовый,Доля лицензий сверх пикового спроса,"Нормально иметь буфер, но сверх 10% — потери.",(Купленные лицензии − Пиковые активные пользователи) / Купленные лицензии × 100%,<10%,Превышение числа купленных лицензий над реальным пиковым потреблением,Torii 2026,Torii 2026
2. Финансы и оптимизация,Показывают стоимость ИТ и отдачу от вложений.,5. Использование лицензий и SaaS,Операционный,Покрытие инвентаризацией ПО,"Процент установленного ПО, охваченного системой инвентаризации и мониторинга.",(ПО в инвентаризации / Всё установленное ПО) × 100%,≥95%,Низкое покрытие <90% создаёт слепые зоны в управлении лицензиями и комплаенсе.,Nexthink 2024,Nexthink 2024
2. Финансы и оптимизация,Показывают стоимость ИТ и отдачу от вложений.,5. Использование лицензий и SaaS,Операционный,Число неконтролируемых приложений (теневые ИТ),"Число ИТ-приложений, используемых сотрудниками без согласования с ИТ.",Число приложений вне реестра ИТ / Общее число используемых приложений × 100%,0%,"Несут риск безопасности, дублирования и утечки данных.",Torii 2026,Torii 2026
2. Финансы и оптимизация,Показывают стоимость ИТ и отдачу от вложений.,5. Использование лицензий и SaaS,Финансовый,Экономия от оптимизации лицензий,"Абсолютная сумма и процент экономии, достигнутой за счёт оптимизации портфеля лицензий.",(Затраты до оптимизации − Затраты после) / Затраты до × 100%,15–25%,Типовая экономия при первой оптимизации составляет 20–30% от бюджета на ПО.,Siit 2024,Siit 2024
2. Финансы и оптимизация,Показывают стоимость ИТ и отдачу от вложений.,6. Избыточные расходы инфраструктуры,Операционный,Время выявления неэффективных ресурсов,Среднее время от появления idle/избыточного ресурса до его обнаружения командой FinOps или ИТ.,Среднее (дата обнаружения − дата появления idle-ресурса) по выборке,<7 дней,целевой: <7 дней,PR Newswire 2025 (рынок: 31 день),PR Newswire 2025
2. Финансы и оптимизация,Показывают стоимость ИТ и отдачу от вложений.,6. Избыточные расходы инфраструктуры,Операционный,Время пересмотра и корректировки параметров инфраструктуры,Среднее время от обнаружения overprovisioning до фактического изменения размера ресурса.,Среднее (дата rightsizing − дата выявления) по выборке,<5 дней,целевой: <5 дней (с автоматизацией),PR Newswire 2025 (рынок: 25 дней),PR Newswire 2025
2. Финансы и оптимизация,Показывают стоимость ИТ и отдачу от вложений.,6. Избыточные расходы инфраструктуры,Операционный,Доля избыточно выделенных VM,"Процент вычислительных ресурсов, у которых провизионированные ресурсы существенно превышают реальную нагрузку.",Число вычислительных ресурсов с утилизацией CPU/RAM <30% от провизиона / Общее число вычислительных ресурсов × 100%,<10%,целевой: <10%,ByteIota 2026 (рынок: 35–45%),ByteIota 2026
2. Финансы и оптимизация,Показывают стоимость ИТ и отдачу от вложений.,6. Избыточные расходы инфраструктуры,Финансовый,Доля непродуктивных сред в облачном бюджете,"Доля бюджета, уходящая на Dev/Test/Staging-среды, работающие 24/7 без бизнес-необходимости.",Затраты на непродуктивные среды / Общий облачный бюджет × 100%,4–8%,целевой: <3% (с автоматическим отключением по расписанию),ByteIota 2026,ByteIota 2026
2. Финансы и оптимизация,Показывают стоимость ИТ и отдачу от вложений.,6. Избыточные расходы инфраструктуры,Финансовый,Доля неэффективных облачных затрат,"Процент облачных расходов на ресурсы, не создающие ценности: простаивающие VM, избыточные резервации, осиротевшие хранилища.",Затраты на idle/избыточные ресурсы / Общий облачный бюджет × 100%,27–32% (устойчивый уровень с 2019 г.),целевой: <15%,Flexera / SpendArk 2026,Flexera / SpendArk 2026
2. Финансы и оптимизация,Показывают стоимость ИТ и отдачу от вложений.,6. Избыточные расходы инфраструктуры,Финансовый,Доля осиротевших хранилищ в облачном бюджете,"Доля расходов на облачные хранилища без владельца: снапшоты удалённых VM, неиспользуемые тома, устаревшие резервные копии.",Затраты на хранилища без активных владельцев / Общий облачный бюджет × 100%,3–6%,целевой: <1%,ByteIota 2026,ByteIota 2026
2. Финансы и оптимизация,Показывают стоимость ИТ и отдачу от вложений.,6. Избыточные расходы инфраструктуры,Операционный,Использование процессоров инфраструктуры,Фактическая использование CPU вычислительных ресурсов.,Среднее потреблённое время CPU / Провизионированный CPU × 100% (скользящее окно 14 дней),60–80%,"Медиана в облаке — 7–12%, что означает, что большинство VM сильно избыточны.",Harness 2025 (медиана по рынку: 7–12%),Harness 2025
3. Разработка и поставка,"Показывают, как быстро ИТ превращает идеи в работающий результат.",14. Архитектура,Операционный,Доля внеплановых развёртываний,"Доля развёртываний, выполненных как реакция на инциденты в продуктиве.",(Внеплановые развёртывания) / (Все развёртывания) × 100%,<10%,"Рост означает нестабильность, технический долг или слабый контроль качества релизов",DORA 2025,DORA 2025
3. Разработка и поставка,"Показывают, как быстро ИТ превращает идеи в работающий результат.",14. Архитектура,Операционный,Надёжность сервиса,Стабильность работы сервиса с точки зрения выполнения обязательств перед пользователем.,"Локальная метрика надёжности, привязанная к SLO/SLA",Целевой уровень задаётся через SLO для сервиса,Ниже целевого уровня — прямой индикатор архитектурного или эксплуатационного риска,GetDX / Nobl9 2025,GetDX / Nobl9 2025
3. Разработка и поставка,"Показывают, как быстро ИТ превращает идеи в работающий результат.",14. Архитектура,Операционный,Остаток допустимого уровня ошибок,Остаток допустимой ненадёжности в окне SLO.,1 − (Observed Error Rate / Allowed Error Rate),"Для 99.9% SLO budget = 0.1%, для 99.95% — 0.05%",Остаток < 25% — warning; < 10% — critical; исчерпание 30-дневного бюджета — повод блокировать релизы,Nobl9 / Google SRE,Nobl9 / Google SRE
3. Разработка и поставка,"Показывают, как быстро ИТ превращает идеи в работающий результат.",14. Архитектура,Операционный,Среднее время восстановления сервиса (MTTR),Среднее время восстановления после сбоя.,(Суммарный downtime) / (Число инцидентов),Recovery SLO задаётся по критичности сервиса,Увеличение MTTR — прямой сигнал проблем в incident response и восстановлении сервиса,Atlassian 2025,SecurityScorecard / Atlassian 2025
3. Разработка и поставка,"Показывают, как быстро ИТ превращает идеи в работающий результат.",14. Архитектура,Операционный,Частота развёртываний,Количество успешных релизов программного обеспечения в продуктивную среду за единицу времени. Ключевой показатель скорости доставки изменений в бизнес.,Количество deploy за день/неделю/месяц,DORA: on-demand — elite; от 1 раза в день до 1 раза в неделю — high; от 1 раза в неделю до 1 раза в месяц — medium; реже — low,Переход в более низкий диапазон указывает на delivery friction и архитектурные/процессные блокеры,DORA / Atlassian 2025,DORA / Atlassian 2025
3. Разработка и поставка,"Показывают, как быстро ИТ превращает идеи в работающий результат.",25. Прикладной ландшафт и технический долг,Финансовый,Доля бюджета на развитие vs. поддержку приложений,Соотношение затрат на развитие (новые функции) и поддержку (эксплуатацию) прикладного ландшафта.,Затраты на развитие / Затраты на поддержку × 100%,Развитие ≥40% от портфеля,Преобладание затрат на поддержку >70% говорит о технологическом застое.,McKinsey / Umbrex,McKinsey
3. Разработка и поставка,"Показывают, как быстро ИТ превращает идеи в работающий результат.",25. Прикладной ландшафт и технический долг,Операционный,"Доля дефектов, устранённых в срок","Доля обнаруженных дефектов приложений, исправленных в течение установленного SLA.","(Дефекты, исправленные в срок / Все дефекты) × 100%",≥90%,Накопление неисправленных дефектов ухудшает пользовательский опыт и продуктивность.,GetDX 2025,GetDX 2025
3. Разработка и поставка,"Показывают, как быстро ИТ превращает идеи в работающий результат.",25. Прикладной ландшафт и технический долг,Операционный,Доля устаревших систем в прикладном ландшафте,"Процент приложений и систем, признанных устаревшими: не поддерживаемых вендором или требующих замены.",(Устаревшие системы / Все системы в ландшафте) × 100%,<15%,Высокая доля >30% означает технологический долг и риски эксплуатации.,Zartis 2025 / WJARR 2025,Zartis 2025
3. Разработка и поставка,"Показывают, как быстро ИТ превращает идеи в работающий результат.",25. Прикладной ландшафт и технический долг,Операционный,Количество активных интеграций между системами,Число действующих интеграционных потоков между приложениями в прикладном ландшафте.,Инвентаризация интеграций (реестр),Рост контролируем; без нецелевых интеграций,Неконтролируемый рост интеграций увеличивает хрупкость ландшафта.,Zartis 2025,Zartis 2025
3. Разработка и поставка,"Показывают, как быстро ИТ превращает идеи в работающий результат.",25. Прикладной ландшафт и технический долг,Операционный,Покрытие кода автоматизированными тестами,"Процент строк кода, охваченных автоматизированными тестами.",(Строки кода под тестами / Все строки кода) × 100%,≥80%,Низкое покрытие <60% означает высокий риск регрессий при изменениях.,GetDX / PropelCode 2025,GetDX 2025
3. Разработка и поставка,"Показывают, как быстро ИТ превращает идеи в работающий результат.",25. Прикладной ландшафт и технический долг,Операционный,Среднее время жизни приложения до вывода из эксплуатации,Средний жизненный цикл приложения от ввода в эксплуатацию до списания.,Среднее (дата вывода − дата ввода) по выведенным приложениям,5–7 лет,Слишком длинный цикл >10 лет — признак накопления устаревших систем.,Zartis / WJARR 2025,Zartis 2025
3. Разработка и поставка,"Показывают, как быстро ИТ превращает идеи в работающий результат.",25. Прикладной ландшафт и технический долг,Финансовый,Стоимость устранения единицы технического долга,Средние затраты на устранение одного условного «балла» технического долга в кодовой базе.,Затраты на рефакторинг / Количество устранённых единиц технического долга,Снижение в динамике; $1 долга сейчас = $4–15 при отложенном исправлении,Рост стоимости устранения означает накопление и усложнение технического долга.,GetDX / Zartis 2025,GetDX 2025
3. Разработка и поставка,"Показывают, как быстро ИТ превращает идеи в работающий результат.",25. Прикладной ландшафт и технический долг,Финансовый,Уровень технического долга,Отношение усилий по устранению технического долга к полным усилиям на разработку.,Время на рефакторинг и исправление технического долга / Общее время разработки × 100%,<20%,"Превышение 45% означает, что большинство усилий уходит на поддержание, а не развитие.",GetDX / PropelCode 2025,GetDX 2025
