дата,канал,ссылка,summary,source_url
2026-06-18T16:23:05+00:00,Axenix_Ru,https://t.me/Axenix_Ru/3327,,https://t.me/Axenix_Ru/3327
2026-06-18T16:23:05+00:00,Axenix_Ru,https://t.me/Axenix_Ru/3326,,https://t.me/Axenix_Ru/3326
2026-06-18T16:23:05+00:00,Axenix_Ru,https://t.me/Axenix_Ru/3325,,https://t.me/Axenix_Ru/3325
2026-06-18T16:23:05+00:00,Axenix_Ru,https://t.me/Axenix_Ru/3324,,https://t.me/Axenix_Ru/3324
2026-06-18T16:23:05+00:00,Axenix_Ru,https://t.me/Axenix_Ru/3323,"Разнородность данных в управлении цепочками поставок — это не просто операционная сложность для компании. Для прогнозирования продаж, отслеживания клиентских заказов и учета складских остатков могут использоваться абсолютно разные системы, отличающиеся по степени актуальности и часто несовместимые друг с другом.   В такой ситуации консолидировать данные вручную слишком ресурсозатратно, а планирование на глаз позволяет реагировать только на случившиеся сбои.   Превратить сырые данные в сбалансированный план для всей сети поставок с помощью тактического S&OP и операционного S&OE позволяет платформа интегрированного планирования In.Plan.   Подробнее о том, как работает сквозное планирование для сетей поставок в In.Plan — в наших карточках. А большой обзор читайте в статье Игоря Дикинова, владельца продукта In.Plan Supply Network Planning, и Татьяны Солдатовой, аналитика продукта, на портале «Логирус».    #AX_InPlan  ☑️ Больше информации о платформе ищите в канале @In_Plan  🔥 AXENIX: Telegram | MAX | ВК",https://t.me/Axenix_Ru/3323
2026-06-18T15:14:31+00:00,Axenix_Ru,https://t.me/Axenix_Ru/3322,"Noôdome – это место, где бизнес встречает смысл. В нашем сообществе предприниматели обмениваются опытом и знаниями, причем не только с коллегами, но и с профессионалами из совершенно других сфер.   Иногда они делятся бизнес-советами и с более широкой аудиторией. И сегодня Вартан Диланян, генеральный директор нашего патрона, компании Axenix, рассказывает, почему совпадение с сотрудником по ценностям может быть существенно важнее результата, который этот сотрудник даёт.",https://t.me/Axenix_Ru/3322
2026-06-18T10:15:05+00:00,Axenix_Ru,https://t.me/Axenix_Ru/3321,"Что нужно менять в управлении данными в эпоху ИИ?  Об этом и многом другом Лариса Малькова, управляющий директор практики Data&AI AXENIX, и Олег Гиацинтов, технический директор DIS Group, поговорили в рамках нового эпизода подкаста «Пульс данных».  🅰️ Смотрите в ВК Видео и Rutube 🅰️ Слушайте в Яндекс Музыке и Звуке  Разговор получился интересным и содержательным, эксперты успели обсудить не только продукты и технологии, но и сами подходы к работе с данными.  Из выпуска вы узнаете:  🅰️почему управление данными уступает место управлению знаниями компании; 🅰️как ИИ берет на себя ручную работу по связке технологий и бизнес-смыслов; 🅰️чем ИИ-трансформация похожа на предыдущие волны автоматизации, и почему все упирается в руководителей;  🅰️как на практике выстроить работу ГенИИ с данными так, чтобы им можно было доверять; 🅰️насколько тиражируемы кейсы с ИИ на самом деле.   Завершает разговор рекомендация для команд, столкнувшихся с провальными data- и AI-проектами. Вывод неочевидный — и тем интереснее услышать его аргументацию от ведущих экспертов рынка!  #AXai  🤝 @dis_group_news  🔥 AXENIX: Telegram | MAX | ВК",https://t.me/Axenix_Ru/3321
2026-06-18T08:27:55+00:00,Axenix_Ru,https://t.me/Axenix_Ru/3320,"Коллеги, представляем первый летний выпуск нашего дайджеста для лидеров потребительского рынка!  В июньском выпуске:  🔸говорим о поддержке ERP, CRM, IBP, MES и других бизнес-критичных систем, минусах и плюсах in-house и аутсорс-подходов; 🔸рассматриваем аутсорсинг ИТ-инфраструктуры; 🔸разбираем формат фабрик поддержки и его особенности; 🔸в деталях рассказываем о следующем этапе развития «Честного знака» — партионном учете.  Скачайте этот и другие выпуски на нашем сайте и подпишитесь на рассылку, чтобы не пропустить выход нового номера дайджеста AXENIX!   #AXdigest  🔥 AXENIX: Telegram | MAX | ВК",https://t.me/Axenix_Ru/3320
2026-06-17T20:23:08+00:00,Axenix_Ru,https://t.me/Axenix_Ru/3319,"Делимся видеоверсией выпуска AXENIX Coffee Talks с Анной Бузовой, вице-президентом по закупкам и логистике группы компаний «Логика молока», и Денисом Шульгой, руководителем практики управления цепочками поставок AXENIX.  Если вы хотите знать, кто и как строит цепочки поставок, по которым ежедневно циркулируют молочные продукты между 13 заводами, 27 складами, множеством ферм и десятками тысяч торговых точек, то этот выпуск для вас!  Узнайте как:  00:06:00 Выстроить отношения в команде 00:08:03 Правильно подобрать сотрудников 00:08:47 Развить карьеру в закупках 00:11:14 Стать лучшим в своем деле 00:13:28 Написать книгу о закупках за 1 год 00:16:07 Найти ответы для молодого поколения 00:18:57 Построить логистику с торговыми сетями 00:21:29 Внедрить новых технологии в Supply Chain  00:25:27 Оптимизировать процессы в рамках локализации 00:30:22 Найти лучшие практики сегодня 00:32:37 Эффективно использовать консалтинг в эпоху ИИ 00:36:14 Разделить Run и Change 00:39:02 Прожить каждый рабочий день на позитиве  Смотрите полный выпуск в Телеграм и на других платформах:  Наш сайт >> VK video >> YouTube >>  Остались вопросы? Пишите в комментарии!  #AXscm #CoffeeTalks #AXpodcasts  🔥 AXENIX: Telegram | MAX | ВК",https://t.me/Axenix_Ru/3319
2026-06-17T13:25:09+00:00,Axenix_Ru,https://t.me/Axenix_Ru/3318,Вебинар «Как управлять трейд-промо и считать эластичность в одной системе» стартовал!  Ждем вас в Dion!  Подключайтесь прямо сейчас по ссылке >>  #AXevents #AX_InPlan,https://t.me/Axenix_Ru/3318
2026-06-17T12:05:17+00:00,Axenix_Ru,https://t.me/Axenix_Ru/3317,"Подключайтесь к вебинару! Начинаем в 16:00!  Сегодня поговорим о том, как управлять трейд-промо и считать эластичность в одной системе.  Вы узнаете:  ☑️ Как модуль In.Plan Трейд‑Промо обеспечивает комплексный подход к оптимизации промо‑процесса с помощью прогнозирования спроса ☑️ Как устроена его математика прогноза ☑️ Как платформа считает ценовую эластичность и строит прогноз с учётом промо, сезонности и каннибализации  Наши эксперты продемонстрируют сквозное демо модуля — от планирования промо до анализа завершенной акции — и детально разберут аспекты его работы.  И конечно, мы с удовольствием ответим на любые ваши вопросы!  Подключайтесь по ссылке >>  #AXevents #AX_InPlan  🔥 AXENIX: Telegram | MAX | ВК",https://t.me/Axenix_Ru/3317
2026-06-17T06:02:38+00:00,Axenix_Ru,https://t.me/Axenix_Ru/3316,"AXENIX на «Неделе Российского Ритейла»  📍24 июня в 14:30 будем рады обсудить с вами новые технологии в складской логистике — встречаемся на сессии «Роботизация и системное управление» на форуме «Неделя Российского Ритейла».  Модератором встречи выступит признанный эксперт в SCM и наш коллега Денис Шульга, руководитель практики управления цепочками поставок AXENIX.  Вас ждет интересная дискуссия по следующим темам:  🔸 Ситуация на рынке складов — как меняется рынок складской роботизации, и что ждет отрасль в ближайшее время 🔸 Интеграция роботизации на всех этапах работы склада 🔸 Обзор цифровых технологий, которые окажут наибольшее влияние на склады в будущем 🔸 Расчет окупаемости роботизации склада 🔸 Инновационные проекты и опыт лидеров роботизированных и бережливых складов  Подробная информация об условиях участия в конференции доступна по ссылке.   Ознакомиться с программой всех выступлений можно здесь.  До встречи!  #AXscm  🔥 AXENIX: Telegram | MAX | ВК",https://t.me/Axenix_Ru/3316
2026-06-16T09:31:29+00:00,Axenix_Ru,https://t.me/Axenix_Ru/3315,"Легкий переход с legacy-систем в Smartax  Smartax — интеллектуальная СППР-платформа от AXENIX, которая помогает организациям принимать решения на основе детального анализа данных.   Для облегчения перехода с legacy-систем в Smartax реализован быстрый перенос кода стратегий, бизнес-правил и других объектов. На работу, которая обычно занимает у пользователя часы, а иногда и дни, уходит меньше минуты.  Пример работы с транслятором кода стратегий смотрите на видео.   Подробнее о возможностях платформы читайте на сайте продукта >>  #Smartax  🔥 AXENIX: Telegram | MAX | ВК",https://t.me/Axenix_Ru/3315
2026-06-16T07:29:01+00:00,Axenix_Ru,https://t.me/Axenix_Ru/3314,,https://t.me/Axenix_Ru/3314
2026-06-16T07:29:01+00:00,Axenix_Ru,https://t.me/Axenix_Ru/3313,,https://t.me/Axenix_Ru/3313
2026-06-16T07:29:01+00:00,Axenix_Ru,https://t.me/Axenix_Ru/3312,,https://t.me/Axenix_Ru/3312
2026-06-16T07:29:01+00:00,Axenix_Ru,https://t.me/Axenix_Ru/3311,,https://t.me/Axenix_Ru/3311
2026-06-16T07:29:01+00:00,Axenix_Ru,https://t.me/Axenix_Ru/3310,,https://t.me/Axenix_Ru/3310
2026-06-16T07:29:01+00:00,Axenix_Ru,https://t.me/Axenix_Ru/3309,,https://t.me/Axenix_Ru/3309
2026-06-16T07:29:01+00:00,Axenix_Ru,https://t.me/Axenix_Ru/3308,,https://t.me/Axenix_Ru/3308
2026-06-16T07:29:01+00:00,Axenix_Ru,https://t.me/Axenix_Ru/3307,,https://t.me/Axenix_Ru/3307
2026-06-16T07:29:01+00:00,Axenix_Ru,https://t.me/Axenix_Ru/3306,"Постоянная потребность в квалифицированных ИТ-специалистах является ключевым вызовом практически для любого крупного бизнеса. Вы можете тратить на это время и силы или просто доверить решение экспертам AXENIX!  Наши специалисты глубоко погружены в специфику ИТ-разработки и поэтому смогут быстро найти для вас нужные кадры. Мы возьмем на себя самые сложные задачи — подбор руководителей, формирование ИТ-команд, оптимизацию рекрутинговых процессов и даже проведение исследований рынка.  Работа с лидерами различных отраслей в течение 30 лет — от банков до FMCG, фармы и металлургических предприятий — позволяет нам быть в курсе всех индустриальных тенденций и учитывать их в работе.  Подробнее о возможностях AXENIX в области ИТ-рекрутмента и преимуществах сотрудничества с нами — рассказываем на карточках.  За профессиональной индивидуальной консультацией обращайтесь к нам через форму на сайте.  #AXhr  🔥 AXENIX: Telegram | MAX | ВК",https://t.me/Axenix_Ru/3306
2026-06-16T06:05:05+00:00,Axenix_Ru,https://t.me/Axenix_Ru/3305,"Что определяет эффективность цепочек поставок в CPG сегодня: технологии, процессы или люди?   В новом выпуске AXENIX Coffee Talks Денис Шульга, руководитель практики управления цепочками поставок AXENIX, поговорил с Анной Бузовой, вице-президентом по закупкам и логистике группы компаний «Логика молока», об управлении одной из самых сложных логистических систем — поставками скоропортящейся продукции и ингредиентов для производства на 13 заводов.  Эксперты обсудили:  🔸 автоматизацию и математическую оптимизацию в Supply Chain; 🔸 построение отношений с торговыми сетями; 🔸 новые подходы к работе с поставщиками и управлению рисками; 🔸 трансформацию консалтинга в эпоху ИИ; 🔸 лидерство, развитие команд и карьерные траектории в закупках и логистике.  Аудиоверсия выпуска уже доступна здесь:  🔥 Яндекс Музыка >> 🔥 Apple Podcasts >> 🔥 ВК Музыка >> 🔥 Telegram-плеер >>  Желаем приятного прослушивания и ждем ваших комментариев!  #AXpodcasts #CoffeeTalks #AXscm  🔥 AXENIX: Telegram | MAX | ВК",https://t.me/Axenix_Ru/3305
2026-06-15T18:47:05+00:00,Axenix_Ru,https://t.me/Axenix_Ru/3304,,https://t.me/Axenix_Ru/3304
2026-06-15T18:47:05+00:00,Axenix_Ru,https://t.me/Axenix_Ru/3303,,https://t.me/Axenix_Ru/3303
2026-06-15T18:47:05+00:00,Axenix_Ru,https://t.me/Axenix_Ru/3302,,https://t.me/Axenix_Ru/3302
2026-06-15T18:47:05+00:00,Axenix_Ru,https://t.me/Axenix_Ru/3301,"Во внедрении новых цифровых технологий в российской промышленности много общего. И в случае с искусственным интеллектом, и в случае с роботизацией бизнес выбирает узкоспециализированные решения с понятным экономическим эффектом. То же касается и развития ERP и MES – рынок фокусируется не на разработке и внедрении принципиально новых монолитных платформ, а переходит к наборам прикладных решений, интегрированных поверх ERP.  С чем это связано, и как ситуация будет развиваться дальше, рассуждает Виктор Трапицын, руководитель направления управления производством AXENIX.  Читайте на карточках и делитесь своим мнением в комментариях!  #AXres  🔥 AXENIX: Telegram | MAX | ВК",https://t.me/Axenix_Ru/3301
